date,sector,market_value,weight,return
2020-10-01,IT,300.18000411987305,0.09755099029004367,-0.0010576966769296557
2020-10-01,Semiconductor,275.5900036621094,0.08955985542774435,0.0007007256403134939
2020-10-01,Communication Service,351.6999969482422,0.11429369883546817,0.0004032436822646602
2020-10-01,Discretionary,219.0300064086914,0.07117927155424378,0.00034705934236173297
2020-10-01,Staples,,,
2020-10-01,Health Care,,,
2020-10-01,Financials,395.09999084472656,0.12839761090515162,0.0011502419682266581
2020-10-01,Industrials,1224.9599876403809,0.39808134525935845,0.01496636832421231
2020-10-01,Alternatives,310.5999984741211,0.10093722772798988,0.0004329938954605653
2020-10-02,IT,296.7599983215332,0.09661602839963121,-0.0011114163097036768
2020-10-02,Semiconductor,271.9799963378906,0.0885484135292452,-0.001241406796849625
2020-10-02,Communication Service,350.4600067138672,0.11409911764763957,-0.0004029657993640434
2020-10-02,Discretionary,217.21000480651855,0.07071697031866395,-0.0005914549809604513
2020-10-02,Staples,,,
2020-10-02,Health Care,,,
2020-10-02,Financials,397.8200035095215,0.1295180919746904,0.0008839360564011687
2020-10-02,Industrials,1227.1200103759766,0.3995129479808947,0.0007019533413765351
2020-10-02,Alternatives,310.1900053024292,0.100988430149235,-0.00013323752202604644
2020-10-05,IT,301.1000099182129,0.09653952102093638,0.0014129757583608528
2020-10-05,Semiconductor,274.61000183105466,0.0880462210928838,0.0009734548364890922
2020-10-05,Communication Service,356.6600036621094,0.11435332044730946,0.0020185304104900705
2020-10-05,Discretionary,218.67999839782715,0.07011378813278608,0.00047858519803354693
2020-10-05,Staples,,,
2020-10-05,Health Care,,,
2020-10-05,Financials,403.9399929046631,0.1295123618455179,0.0019924823849264022
2020-10-05,Industrials,1241.5400047302246,0.39806600277942084,0.004694711524236651
2020-10-05,Alternatives,322.4000053405762,0.1033687846811456,0.003975204600071966
2020-10-06,IT,391.7699890136719,0.12787228405747056,-0.0011972895507859121
2020-10-06,Semiconductor,275.94000610351566,0.09006580348873416,9.269675062212604e-05
2020-10-06,Communication Service,351.7799987792969,0.1148196982696219,-0.0015877008156415873
2020-10-06,Discretionary,224.20999145507812,0.07318131689476161,0.0017991732996851999
2020-10-06,Staples,,,
2020-10-06,Health Care,,,
2020-10-06,Financials,401.4400119781494,0.13102854400088543,-0.0008133643001247521
2020-10-06,Industrials,1240.120002746582,0.4047706095502586,-0.00046199509258330955
2020-10-06,Alternatives,178.5,0.058261743738267674,-0.0013827298596037112
2020-10-07,IT,397.4199962615967,0.12491434827584834,0.001819202787010588
2020-10-07,Semiconductor,279.23,0.08776567308431538,0.0013515333125236543
2020-10-07,Communication Service,360.1000061035156,0.11318418297941167,0.0026788957691561365
2020-10-07,Discretionary,227.29000854492188,0.0714402484879306,0.0009917112364664657
2020-10-07,Staples,,,
2020-10-07,Health Care,,,
2020-10-07,Financials,409.0399990081787,0.12856666845023992,0.002447061920381032
2020-10-07,Industrials,1282.7099952697754,0.40317267523844436,0.013713227204338735
2020-10-07,Alternatives,225.75,0.07095620348380974,0.0016904075008600194
2020-10-08,IT,396.79999351501465,0.12395312809197011,-0.00019518178455550325
2020-10-08,Semiconductor,326.85999755859376,0.10210514064433406,0.0007369560335174473
